,exp,tiempo
0,1.7485825365826702e-10,0.0009998703544206852
1,6.80986265371134e-10,0.0019997407088413704
2,1.4894003262495226e-09,0.0029996110632620554
3,2.5697013133917236e-09,0.003999481417682741
4,3.8905102835852055e-09,0.004999351772103426
5,5.419913324700423e-09,0.005999222126524112
6,7.12590488600298e-09,0.006999092480944797
7,8.976819291582521e-09,0.007998962835365482
8,1.0941740892934425e-08,0.008998833189786167
9,1.299088430358233e-08,0.009998703544206853
10,1.5095937340319116e-08,0.010998573898627538
11,1.723036062734041e-08,0.011998444253048223
12,1.936963925366953e-08,0.012998314607468909
13,2.149148336203276e-08,0.013998184961889594
14,2.3575976040825328e-08,0.01499805531631028
15,2.5605668344157544e-08,0.015997925670730963
16,2.756562263636584e-08,0.016997796025151647
17,2.9443406709895155e-08,0.01799766637957233
18,3.122904222813669e-08,0.018997536733993015
19,3.2914911973715865e-08,0.0199974070884137
20,3.449563112074691e-08,0.020997277442834382
21,3.596788828719891e-08,0.021997147797255066
22,3.733026245842735e-08,0.02299701815167575
23,3.8583022009298214e-08,0.023996888506096433
24,3.972791200104938e-08,0.024996758860517117
25,4.076793570576568e-08,0.0259966292149378
26,4.1707135936782114e-08,0.026996499569358484
27,4.2550381261074917e-08,0.027996369923779168
28,4.330316156594036e-08,0.02899624027819985
29,4.3971396774424626e-08,0.029996110632620535
30,4.456126177929798e-08,0.03099598098704122
31,4.507902992079479e-08,0.031995851341461906
32,4.5530936593677245e-08,0.03299572169588259
33,4.592306385706385e-08,0.03399559205030328
34,4.6261246255379254e-08,0.03499546240472397
35,4.655099745713585e-08,0.035995332759144655
36,4.679745679209097e-08,0.03699520311356534
37,4.7005354326000724e-08,0.03799507346798603
38,4.7178992760125394e-08,0.038994943822406716
39,4.7322244181860015e-08,0.039994814176827403
40,4.743855952138593e-08,0.04099468453124809
41,4.753098848279556e-08,0.04199455488566878
42,4.7602207709649366e-08,0.042994425240089465
43,4.765455500588636e-08,0.04399429559451015
44,4.7690067553223863e-08,0.04499416594893084
45,4.7710522234757e-08,0.045994036303351526
46,4.7717476380053085e-08,0.046993906657772214
47,4.771230747869222e-08,0.0479937770121929
48,4.769625065571437e-08,0.04899364736661359
49,4.7670432954385845e-08,0.049993517721034275
50,4.76359037197221e-08,0.05099338807545496
51,4.759366061304982e-08,0.05199325842987565
52,4.7544671006861785e-08,0.05299312878429634
53,4.7489888705786194e-08,0.053992999138717024
54,4.743026610987016e-08,0.05499286949313771
55,4.736676207869706e-08,0.0559927398475584
56,4.730034586791838e-08,0.056992610201979085
57,4.723199759427567e-08,0.05799248055639977
58,4.716270574162867e-08,0.05899235091082046
59,4.709346225183561e-08,0.05999222126524115
60,4.702525575192696e-08,0.060992091619661834
61,4.6959063457207475e-08,0.06199196197408252
62,4.689584226088192e-08,0.06299183232850321
63,4.683651947868638e-08,0.0639917026829239
64,4.6781983664829867e-08,0.06499157303734458
65,4.6733075856640385e-08,0.06599144339176527
66,4.6690581542710917e-08,0.06699131374618596
67,4.665522358564122e-08,0.06799118410060664
68,4.662765626810937e-08,0.06899105445502733
69,4.660846057178525e-08,0.06999092480944802
70,4.6598140744235794e-08,0.0709907951638687
71,4.6597122160364363e-08,0.07199066551828939
72,4.660575044310935e-08,0.07299053587271008
73,4.6624291773213025e-08,0.07399040622713077
74,4.665293429036898e-08,0.07499027658155145
75,4.669179046728218e-08,0.07599014693597214
76,4.6740900324335595e-08,0.07699001729039283
77,4.680023534464996e-08,0.07798988764481352
78,4.686970294687818e-08,0.0789897579992342
79,4.6949151375460474e-08,0.07998962835365489
80,4.703837487416583e-08,0.08098949870807558
81,4.713711901814191e-08,0.08198936906249626
82,4.724508609129694e-08,0.08298923941691695
83,4.7361940409163545e-08,0.08398910977133764
84,4.748731350159322e-08,0.08498898012575833
85,4.762080908421041e-08,0.08598885048017901
86,4.7762007762027566e-08,0.0869887208345997
87,4.7910471422462955e-08,0.08798859118902039
88,4.806574728798282e-08,0.08898846154344107
89,4.822737161047286e-08,0.08998833189786176
90,4.8394872999858056e-08,0.09098820225228245
91,4.85677753887029e-08,0.09198807260670314
92,4.874560064206409e-08,0.09298794296112382
93,4.89278708281328e-08,0.09398781331554451
94,4.9114110169987066e-08,0.0949876836699652
95,4.930384670227595e-08,0.09598755402438588
96,4.949661365906956e-08,0.09698742437880657
97,4.9691950620273985e-08,0.09798729473322726
98,4.9889404444550294e-08,0.09898716508764795
99,5.008853001613643e-08,0.09998703544206863
100,5.0288890832118966e-08,0.10098690579648932
101,5.0490059455094775e-08,0.10198677615091001
102,5.0691617854424145e-08,0.1029866465053307
103,5.089315765711065e-08,0.10398651685975138
104,5.10942803271541e-08,0.10498638721417207
105,5.1294597289950625e-08,0.10598625756859276
106,5.1493730016000106e-08,0.10698612792301344
107,5.1691310076022056e-08,0.10798599827743413
108,5.1886979177483985e-08,0.10898586863185482
109,5.208038919067369e-08,0.1099857389862755
110,5.227120217060184e-08,0.11098560934069619
111,5.2459090379592424e-08,0.11198547969511688
112,5.264373631396202e-08,0.11298535004953757
113,5.282483273705658e-08,0.11398522040395825
114,5.300208271993598e-08,0.11498509075837894
115,5.3175199690199905e-08,0.11598496111279963
116,5.33439074887547e-08,0.11698483146722032
117,5.350794043388803e-08,0.117984701821641
118,5.366704339160569e-08,0.11898457217606169
119,5.3820971850951107e-08,0.11998444253048238
120,5.396949200282058e-08,0.12098431288490306
121,5.411238082078172e-08,0.12198418323932375
122,5.424942614231704e-08,0.12298405359374444
123,5.4380426748968454e-08,0.12398392394816513
