,exp,tiempo
0,9.938215859284344e-05,0.001
1,7.379359007072686e-05,0.002
2,6.110303532185445e-05,0.003
3,5.3193666721714517e-05,0.004
4,4.776510589342039e-05,0.005
5,4.38495178677622e-05,0.006
6,4.0947093564706146e-05,0.007
7,3.876566773860065e-05,0.008
8,3.711732330080512e-05,0.009000000000000001
9,3.5874244357963425e-05,0.010000000000000002
10,3.494465279705785e-05,0.011000000000000003
11,3.4261163712235374e-05,0.012000000000000004
12,3.3771989721141094e-05,0.013000000000000005
13,3.343719077947901e-05,0.014000000000000005
14,3.3225957632552955e-05,0.015000000000000006
15,3.311331887872851e-05,0.016000000000000007
16,3.308007512877435e-05,0.017000000000000008
17,3.310989721339641e-05,0.01800000000000001
18,3.319014307402676e-05,0.01900000000000001
19,3.331066030116541e-05,0.02000000000000001
20,3.34636032387718e-05,0.02100000000000001
21,3.364232322600956e-05,0.022000000000000013
22,3.3841700041947516e-05,0.023000000000000013
23,3.4056580740008566e-05,0.024000000000000014
24,3.428391930654163e-05,0.025000000000000015
25,3.4520089499618825e-05,0.026000000000000016
26,3.476285540470677e-05,0.027000000000000017
27,3.5009479152576675e-05,0.028000000000000018
28,3.5258873637004726e-05,0.02900000000000002
29,3.5509282692639413e-05,0.03000000000000002
30,3.5759856309802e-05,0.03100000000000002
31,3.600893661568584e-05,0.03200000000000002
32,3.6256674662443926e-05,0.03300000000000002
33,3.650169239899124e-05,0.03400000000000002
34,3.674358122110847e-05,0.035000000000000024
35,3.698171525152357e-05,0.036000000000000025
36,3.721580429355406e-05,0.037000000000000026
37,3.7445265508791634e-05,0.03800000000000003
38,3.766996160393805e-05,0.03900000000000003
39,3.788906131486544e-05,0.04000000000000003
40,3.810332262845026e-05,0.04100000000000003
41,3.8311571538361356e-05,0.04200000000000003
42,3.8514363788740605e-05,0.04300000000000003
43,3.871079718095436e-05,0.04400000000000003
44,3.89014742834804e-05,0.04500000000000003
45,3.908548011308534e-05,0.046000000000000034
46,3.926332648775288e-05,0.047000000000000035
47,3.943447105043312e-05,0.048000000000000036
48,3.959969202959656e-05,0.04900000000000004
49,3.975797823388685e-05,0.05000000000000004
50,3.990979788063168e-05,0.05100000000000004
51,4.0055541597357974e-05,0.05200000000000004
52,4.019482465018318e-05,0.05300000000000004
53,4.032785411404054e-05,0.05400000000000004
54,4.045461494959145e-05,0.05500000000000004
55,4.057560549673178e-05,0.05600000000000004
56,4.069070258459667e-05,0.057000000000000044
57,4.0800375989390795e-05,0.058000000000000045
58,4.090424855769891e-05,0.059000000000000045
59,4.1002766893237815e-05,0.060000000000000046
60,4.109660064162624e-05,0.06100000000000005
61,4.1185389345787205e-05,0.06200000000000005
62,4.1269854513992925e-05,0.06300000000000004
63,4.1349257673744924e-05,0.06400000000000004
64,4.142487228613111e-05,0.06500000000000004
65,4.1496466764585354e-05,0.06600000000000004
66,4.156442163235311e-05,0.06700000000000005
67,4.162920780992571e-05,0.06800000000000005
68,4.16902614760511e-05,0.06900000000000005
69,4.174851255448327e-05,0.07000000000000005
70,4.180372012920432e-05,0.07100000000000005
71,4.1856238222359306e-05,0.07200000000000005
72,4.190722136479952e-05,0.07300000000000005
73,4.195616493501885e-05,0.07400000000000005
74,4.200351916638781e-05,0.07500000000000005
75,4.2049970643742645e-05,0.07600000000000005
76,4.209355904909559e-05,0.07700000000000005
77,4.213586397571953e-05,0.07800000000000006
78,4.2178048629517075e-05,0.07900000000000006
79,4.222134927580282e-05,0.08000000000000006
80,4.226513482023836e-05,0.08100000000000006
81,4.2307449934252867e-05,0.08200000000000006
82,4.2350676967889175e-05,0.08300000000000006
83,4.239130950012805e-05,0.08400000000000006
84,4.243327026346072e-05,0.08500000000000006
85,4.247676417898525e-05,0.08600000000000006
86,4.2518504570630586e-05,0.08700000000000006
87,4.256178350612968e-05,0.08800000000000006
88,4.26046543597537e-05,0.08900000000000007
89,4.264886763118911e-05,0.09000000000000007
90,4.269320874933647e-05,0.09100000000000007
91,4.27373301316004e-05,0.09200000000000007
92,4.27806590584153e-05,0.09300000000000007
93,4.2826228908596295e-05,0.09400000000000007
94,4.287333149503369e-05,0.09500000000000007
95,4.291969031577904e-05,0.09600000000000007
96,4.296849776000635e-05,0.09700000000000007
97,4.301780580765646e-05,0.09800000000000007
98,4.306709905062287e-05,0.09900000000000007
99,4.311832064797255e-05,0.10000000000000007
100,4.317053459920326e-05,0.10100000000000008
101,4.322402536736928e-05,0.10200000000000008
102,4.3279070483913624e-05,0.10300000000000008
103,4.333459707230317e-05,0.10400000000000008
104,4.339276677149788e-05,0.10500000000000008
105,4.345113283085624e-05,0.10600000000000008
106,4.351165353723212e-05,0.10700000000000008
107,4.357296674228383e-05,0.10800000000000008
108,4.363503932594728e-05,0.10900000000000008
109,4.369948930168833e-05,0.11000000000000008
110,4.376454430875908e-05,0.11100000000000008
111,4.383129652067144e-05,0.11200000000000009
112,4.3899406026993326e-05,0.11300000000000009
113,4.396812627190736e-05,0.11400000000000009
114,4.403865261140346e-05,0.11500000000000009
115,4.411001986331993e-05,0.11600000000000009
116,4.418297759230608e-05,0.11700000000000009
117,4.425658323226557e-05,0.11800000000000009
118,4.433136776685323e-05,0.11900000000000009
119,4.4407263360736915e-05,0.12000000000000009
120,4.448419540001088e-05,0.1210000000000001
121,4.4562111733081186e-05,0.1220000000000001
122,4.464068313813386e-05,0.1230000000000001
123,4.472073048873986e-05,0.1240000000000001
124,4.480153854123954e-05,0.12500000000000008
125,4.488306640466111e-05,0.12600000000000008
126,4.496521022935313e-05,0.12700000000000009
