krylov_dim,l2_norm_sum,cpu_time
5,0.3180954293161408,24.63661098480225
10,0.3149566439847246,28.198993682861328
20,0.3000051146835523,36.026689767837524
30,0.2549299576072545,43.99793386459351
31,0.2124558169599555,76.66668152809143
32,0.1596567621359177,67.5634515285492
33,0.0942836567928684,68.42750835418701
34,0.0384673929943893,70.92323613166809
35,0.0085661790770969,58.82357120513916
40,0.0012690767867109,54.14307260513306
60,0.0012690423681659,67.1096978187561
70,0.001269042368166,76.48878073692322

