,exp_500,tiempo
0,6.024979749123933e-05,1.0
1,6.721378557948636e-05,2.0
2,6.80724133981101e-05,3.0
3,6.815839870054007e-05,4.0
4,6.814134612826079e-05,5.0
5,6.811096606274331e-05,6.0
6,6.80793228297533e-05,7.0
7,6.804799748015892e-05,8.0
8,6.801716209014295e-05,9.0
9,6.798680535530279e-05,10.0
