,exp,tiempo
0,6.0249797491226396e-05,1.0
1,6.721378558084497e-05,2.0
2,6.807241339622794e-05,3.0
3,6.815839869654108e-05,4.0
4,6.814134612435159e-05,5.0
5,6.81109660578814e-05,6.0
6,6.80793228290163e-05,7.0
7,6.8047997463441e-05,8.0
8,6.80171620989712e-05,9.0
9,6.798680534817866e-05,10.0
