,exp_600,tiempo
0,6.024979749130887e-05,1.0
1,6.721378557938274e-05,2.0
2,6.807241339528718e-05,3.0
3,6.815839869344999e-05,4.0
4,6.814134612527462e-05,5.0
5,6.811096605349039e-05,6.0
6,6.80793228170887e-05,7.0
7,6.804799745731781e-05,8.0
8,6.801716208533032e-05,9.0
9,6.798680534802848e-05,10.0
